Distance_m,Obstacle_Count,Obstacle_Type,Noise_Power_dBm,Received_SNR_dB,Total_Path_Loss_dB,BER,Is_Outage
98.34,0,None,-65.82,5.91,79.91,0.0029,False
85.84,1,Concrete,-93.95,25.22,88.73,0.0,False
40.25,0,None,-78.06,25.91,72.15,0.0,False
19.66,2,Concrete,-84.37,18.45,85.93,0.0,False
66.87,1,Concrete,-62.24,-4.32,86.56,0.1975,True
153.64,2,Concrete,-66.97,-16.82,103.78,0.42,True
57.3,4,Glass,-81.09,17.87,83.22,0.0,False
22.32,2,Concrete,-83.13,16.1,87.03,0.0,False
94.51,1,Concrete,-98.91,29.34,89.56,0.0,False
37.46,3,Glass,-77.04,19.51,77.53,0.0,False
112.44,1,Glass,-71.16,8.09,83.07,0.0001,False
86.44,3,Glass,-94.88,30.09,84.79,0.0,False
45.09,0,None,-81.01,27.87,73.14,0.0,False
170.38,4,Glass,-97.4,24.72,92.68,0.0,False
101.57,0,None,-89.62,29.43,80.19,0.0,False
44.4,3,Glass,-94.83,35.83,79.0,0.0,False
58.53,4,Concrete,-78.39,-17.01,115.4,0.4194,True
182.53,2,Glass,-77.58,8.3,89.28,0.0,False
78.5,1,Glass,-60.89,0.94,79.95,0.0594,False
17.77,1,Glass,-96.51,49.46,67.05,0.0,False
40.41,3,Glass,-68.36,10.17,78.18,0.0001,False
79.38,2,Concrete,-67.95,-10.1,98.05,0.3285,True
96.08,2,Concrete,-86.12,6.41,99.71,0.0014,False
196.93,1,Concrete,-82.82,6.88,95.94,0.0009,False
118.85,1,Concrete,-74.74,3.18,91.55,0.022,False
142.54,3,Concrete,-81.06,-12.08,113.13,0.3611,True
77.38,3,Glass,-73.66,9.84,83.83,0.0,False
14.98,4,Glass,-87.54,35.98,71.56,0.0,False
193.62,1,Concrete,-78.99,3.19,95.79,0.0214,False
119.12,1,Glass,-64.72,1.15,83.57,0.0534,False
165.83,0,None,-97.94,33.49,84.45,0.0,False
145.97,2,Glass,-66.18,-1.16,87.34,0.1109,True
31.43,3,Concrete,-99.47,19.47,100.0,0.0,False
67.63,0,None,-86.41,29.75,76.66,0.0,False
93.85,4,Concrete,-88.63,-10.87,119.5,0.3381,True
90.59,4,Glass,-71.77,4.57,87.2,0.01,False
34.81,0,None,-92.05,41.16,70.89,0.0,False
164.4,3,Glass,-71.66,1.29,90.37,0.0462,False
54.07,0,None,-92.48,37.77,74.71,0.0,False
48.37,1,Glass,-66.15,10.4,75.75,0.0,False
28.41,3,Concrete,-93.66,14.54,99.12,0.0,False
115.41,0,None,-68.19,6.89,81.3,0.0008,False
115.86,3,Concrete,-89.11,-2.22,111.33,0.1385,True
165.29,2,Concrete,-61.04,-23.38,104.42,0.4608,True
77.34,4,Concrete,-69.55,-28.27,117.82,0.4823,True
148.61,3,Glass,-69.39,-0.1,89.49,0.0845,False
35.38,1,Glass,-81.1,28.07,73.03,0.0,False
14.6,2,Concrete,-97.99,34.65,83.34,0.0,False
46.79,0,None,-82.39,28.93,73.46,0.0,False
195.0,1,Concrete,-86.13,10.27,95.85,0.0,False
70.78,0,None,-70.63,13.58,77.05,0.0,False
92.08,1,Glass,-94.5,33.17,81.34,0.0,False
179.15,2,Glass,-70.25,1.13,89.12,0.0547,False
119.99,2,Glass,-90.72,25.08,85.64,0.0,False
76.0,1,Concrete,-73.98,6.31,87.67,0.0018,False
51.52,4,Concrete,-98.92,4.63,114.29,0.0073,False
11.51,1,Glass,-95.28,52.0,63.28,0.0,False
191.77,0,None,-72.87,7.16,85.71,0.0002,False
158.81,3,Glass,-75.83,5.76,90.07,0.0028,False
82.86,2,Glass,-99.47,37.05,82.42,0.0,False
184.74,1,Concrete,-84.95,9.56,95.39,0.0,False
93.21,2,Concrete,-88.14,8.7,99.44,0.0001,False
15.38,1,Concrete,-63.3,9.51,73.79,0.0,False
136.77,1,Glass,-62.05,-2.73,84.77,0.1512,True
160.91,4,Glass,-73.61,1.42,92.19,0.0442,False
147.2,3,Glass,-79.27,9.85,89.41,0.0,False
53.59,2,Glass,-96.9,38.26,78.64,0.0,False
188.56,1,Concrete,-94.36,18.8,95.56,0.0,False
32.66,1,Glass,-63.11,10.78,72.34,0.0,False
78.69,3,Glass,-73.12,9.15,83.97,0.0,False
75.94,4,Concrete,-98.91,1.25,117.66,0.0488,False
91.9,2,Glass,-72.16,8.84,83.32,0.0,False
11.97,3,Glass,-96.03,48.42,67.61,0.0,False
147.65,4,Concrete,-75.91,-27.53,123.44,0.4808,True
156.5,3,Concrete,-66.97,-26.97,113.94,0.4757,True
148.66,2,Concrete,-91.46,7.96,103.5,0.0004,False
159.49,3,Concrete,-92.85,-1.26,114.11,0.1177,True
15.63,4,Glass,-92.54,40.61,71.93,0.0,False
190.72,0,None,-82.6,16.94,85.66,0.0,False
157.0,2,Glass,-63.95,-4.03,87.97,0.1892,True
173.49,2,Concrete,-61.92,-22.92,104.84,0.4627,True
111.3,0,None,-67.46,6.48,80.98,0.0012,False
52.0,2,Glass,-82.44,24.07,78.37,0.0,False
24.69,4,Concrete,-63.89,-24.01,107.9,0.4591,True
106.56,1,Glass,-82.94,20.34,82.61,0.0,False
178.69,2,Concrete,-98.63,13.53,105.1,0.0,False
127.11,4,Concrete,-87.82,-14.32,122.14,0.3904,True
44.58,3,Glass,-65.35,6.31,79.04,0.0021,False
167.34,3,Glass,-62.0,-8.53,90.53,0.2971,True
12.86,1,Concrete,-95.36,43.12,72.24,0.0,False
159.59,3,Glass,-73.26,3.14,90.11,0.0207,False
148.22,4,Glass,-94.23,22.76,91.47,0.0,False
114.33,4,Glass,-75.72,6.5,89.22,0.002,False
188.61,0,None,-74.16,8.59,85.57,0.0,False
36.76,0,None,-68.18,16.82,71.36,0.0,False
36.55,0,None,-68.2,16.89,71.31,0.0,False
25.93,1,Concrete,-70.6,12.27,78.33,0.0,False
172.03,1,Glass,-84.5,17.74,86.77,0.0,False
131.89,0,None,-99.72,37.26,82.46,0.0,False
73.79,0,None,-72.08,14.67,77.41,0.0,False
182.0,3,Glass,-98.98,27.72,91.26,0.0,False
23.86,0,None,-73.2,25.6,67.61,0.0,False
53.46,1,Concrete,-61.6,-3.02,84.62,0.151,True
88.63,0,None,-60.45,1.44,79.01,0.049,False
157.15,4,Concrete,-90.07,-13.91,123.98,0.3846,True
105.97,0,None,-98.44,37.88,80.56,0.0,False
20.75,3,Concrete,-86.34,9.95,96.39,0.0,False
152.76,3,Glass,-84.77,15.04,89.73,0.0,False
84.63,0,None,-88.81,30.21,78.6,0.0,False
137.44,0,None,-78.39,15.57,82.82,0.0,False
109.98,0,None,-89.69,28.81,80.88,0.0,False
128.43,0,None,-66.84,4.61,82.23,0.0068,False
139.17,2,Concrete,-80.51,-2.42,102.93,0.1391,True
100.08,4,Glass,-68.76,0.7,88.06,0.0609,False
53.36,2,Glass,-64.39,5.79,78.6,0.0027,False
15.12,4,Concrete,-75.76,-7.89,103.65,0.2876,True
39.97,3,Glass,-77.56,19.47,78.09,0.0,False
66.64,0,None,-66.13,9.6,76.53,0.0002,False
55.85,0,None,-84.68,29.68,74.99,0.0,False
182.6,3,Glass,-97.53,26.25,91.28,0.0,False
195.91,1,Concrete,-99.78,23.89,95.9,0.0,False
116.86,3,Glass,-69.23,1.83,87.41,0.0404,False
58.18,2,Concrete,-62.19,-13.16,95.35,0.371,True
120.05,2,Concrete,-98.29,16.65,101.64,0.0,False
105.91,1,Glass,-84.64,22.09,82.55,0.0,False
11.24,2,Glass,-61.06,15.99,65.07,0.0,False
96.64,1,Glass,-90.41,28.65,81.76,0.0,False
68.43,0,None,-69.91,13.15,76.76,0.0,False
159.08,1,Concrete,-62.71,-11.37,94.09,0.3465,True
26.65,4,Concrete,-72.74,-15.83,108.57,0.4048,True
44.34,2,Glass,-99.7,42.71,76.99,0.0,False
48.28,4,Concrete,-78.01,-15.71,113.73,0.4093,True
99.79,3,Concrete,-97.75,7.72,110.04,0.0005,False
144.59,1,Concrete,-96.22,22.96,93.26,0.0,False
189.84,4,Glass,-84.42,10.8,93.62,0.0,False
33.73,2,Glass,-76.14,21.53,74.61,0.0,False
36.09,0,None,-81.12,29.92,71.2,0.0,False
99.67,1,Concrete,-81.21,11.18,90.03,0.0,False
191.9,1,Concrete,-96.02,20.31,95.72,0.0,False
11.86,4,Concrete,-94.77,13.23,101.54,0.0,False
64.86,3,Glass,-98.34,36.05,82.29,0.0,False
47.24,0,None,-68.32,14.78,73.54,0.0,False
26.14,2,Concrete,-68.72,0.32,88.4,0.0757,False
75.71,1,Concrete,-86.93,19.29,87.64,0.0,False
101.19,1,Concrete,-73.98,3.82,90.16,0.012,False
49.4,2,Concrete,-62.22,-11.71,93.93,0.3496,True
92.77,2,Glass,-97.47,34.07,83.4,0.0,False
196.34,2,Concrete,-93.4,7.48,105.91,0.0003,False
26.81,3,Concrete,-82.08,3.46,98.62,0.0166,False
107.07,3,Concrete,-75.26,-15.39,110.65,0.4026,True
32.02,1,Glass,-84.49,32.33,72.16,0.0,False
23.04,0,None,-89.46,42.16,67.3,0.0,False
115.67,0,None,-72.56,11.24,81.32,0.0,False
74.49,1,Concrete,-78.19,10.7,87.5,0.0,False
11.51,0,None,-68.08,26.81,61.27,0.0,False
190.67,1,Glass,-99.89,32.23,87.66,0.0,False
137.98,2,Concrete,-86.69,3.84,102.85,0.0115,False
25.62,1,Glass,-95.18,44.95,70.23,0.0,False
108.68,3,Glass,-66.67,-0.11,86.78,0.0824,False
92.52,3,Concrete,-97.13,7.75,109.38,0.0001,False
190.26,2,Concrete,-79.66,-5.98,105.64,0.2335,True
109.99,4,Concrete,-94.87,-6.01,120.88,0.2493,True
34.39,3,Concrete,-77.23,-3.55,100.78,0.1687,True
155.94,3,Glass,-84.58,14.67,89.91,0.0,False
28.29,0,None,-81.48,32.39,69.09,0.0,False
33.46,0,None,-98.61,48.06,70.55,0.0,False
14.54,1,Concrete,-71.63,18.32,73.31,0.0,False
133.84,1,Glass,-70.75,6.16,84.59,0.0016,False
54.5,0,None,-99.38,44.6,74.78,0.0,False
20.27,1,Concrete,-97.1,40.91,76.19,0.0,False
184.27,3,Concrete,-98.92,3.56,115.36,0.0163,False
195.3,3,Concrete,-83.51,-12.35,115.87,0.3636,True
175.4,3,Concrete,-80.67,-14.27,114.93,0.3908,True
188.96,4,Glass,-100.0,26.41,93.58,0.0,False
184.26,1,Concrete,-92.12,16.76,95.36,0.0,False
54.0,1,Glass,-88.59,31.89,76.7,0.0,False
29.81,0,None,-66.21,16.67,69.54,0.0,False
81.86,2,Concrete,-98.46,20.14,98.32,0.0,False
182.87,0,None,-95.29,30.0,85.3,0.0,False
195.87,1,Concrete,-84.71,8.82,95.89,0.0,False
34.07,1,Concrete,-79.31,18.61,80.7,0.0,False
137.0,2,Concrete,-64.71,-18.08,102.79,0.4266,True
43.72,3,Glass,-72.14,13.27,78.87,0.0,False
94.23,2,Concrete,-70.77,-8.77,99.54,0.3067,True
165.0,3,Concrete,-92.89,-1.51,114.4,0.1192,True
106.22,0,None,-72.59,12.01,80.58,0.0,False
177.86,3,Glass,-62.07,-8.99,91.06,0.3105,True
143.99,0,None,-75.28,12.06,83.22,0.0,False
22.17,1,Concrete,-73.98,17.01,76.97,0.0,False
53.1,2,Glass,-90.4,31.85,78.56,0.0,False
13.68,4,Glass,-90.09,39.31,70.78,0.0,False
134.59,1,Concrete,-69.38,-3.25,92.63,0.1676,True
170.01,3,Concrete,-86.5,-8.17,114.66,0.2969,True
16.13,1,Glass,-86.73,40.53,66.2,0.0,False
44.73,2,Glass,-96.19,39.12,77.07,0.0,False
92.2,2,Glass,-60.27,-3.08,83.35,0.1626,True
46.28,1,Concrete,-86.75,23.39,83.36,0.0,False
90.03,4,Concrete,-62.6,-36.55,119.14,0.4924,True
177.33,1,Glass,-80.82,13.79,87.03,0.0,False
83.92,3,Concrete,-71.59,-16.94,108.53,0.4168,True
70.8,4,Concrete,-67.21,-29.84,117.05,0.4852,True
96.2,4,Glass,-80.68,12.96,87.72,0.0,False
107.62,0,None,-70.09,9.39,80.69,0.0,False
99.02,4,Glass,-62.58,-5.39,87.97,0.2256,True
134.57,3,Glass,-61.64,-6.99,88.63,0.2627,True
79.48,0,None,-76.78,18.72,78.06,0.0,False
80.56,0,None,-99.49,41.32,78.18,0.0,False
163.37,2,Glass,-79.46,11.14,88.32,0.0,False
109.89,4,Glass,-82.16,13.29,88.87,0.0,False
172.83,3,Concrete,-87.97,-6.83,114.81,0.2543,True
12.73,2,Glass,-95.05,48.9,66.15,0.0,False
105.18,0,None,-76.54,16.04,80.49,0.0,False
34.82,2,Concrete,-80.72,9.83,90.89,0.0,False
61.02,2,Concrete,-89.21,13.45,95.76,0.0,False
156.51,4,Glass,-60.34,-11.6,91.95,0.3568,True
119.92,0,None,-87.83,26.2,81.63,0.0,False
119.21,1,Concrete,-77.25,5.67,91.58,0.0034,False
55.77,3,Concrete,-75.35,-9.63,104.98,0.3304,True
135.29,1,Concrete,-96.61,23.94,92.68,0.0,False
91.03,1,Glass,-84.18,22.94,81.24,0.0,False
13.33,1,Concrete,-85.47,32.92,72.55,0.0,False
77.31,0,None,-89.61,31.79,77.82,0.0,False
109.43,1,Concrete,-99.62,28.79,90.84,0.0,False
34.67,4,Glass,-74.91,16.06,78.85,0.0,False
149.02,1,Concrete,-91.25,17.73,93.52,0.0,False
29.46,4,Glass,-64.64,7.2,77.44,0.0004,False
66.27,2,Glass,-92.24,31.76,80.48,0.0,False
49.75,4,Concrete,-92.19,-1.81,113.99,0.1237,True
91.15,4,Glass,-91.71,24.46,87.25,0.0,False
33.14,2,Glass,-66.41,11.95,74.46,0.0,False
22.52,1,Glass,-62.78,13.67,69.1,0.0,False
38.79,3,Glass,-69.21,11.38,77.83,0.0,False
122.71,0,None,-84.67,22.84,81.83,0.0,False
13.14,2,Concrete,-99.56,37.14,82.43,0.0,False
159.59,1,Concrete,-81.59,7.48,94.11,0.0003,False
115.3,3,Concrete,-96.6,5.31,111.29,0.0044,False
127.13,4,Glass,-89.0,18.86,90.14,0.0,False
175.91,4,Concrete,-81.62,-23.34,124.96,0.4583,True
99.48,1,Glass,-74.61,12.61,82.01,0.0,False
105.84,2,Glass,-75.74,11.2,84.55,0.0,False
67.44,0,None,-94.68,38.05,76.63,0.0,False
172.38,4,Glass,-60.86,-11.92,92.78,0.3624,True
93.73,4,Glass,-78.92,11.43,87.49,0.0,False
38.49,4,Concrete,-98.2,6.44,111.76,0.0017,False
62.74,0,None,-60.34,4.34,76.01,0.0114,False
169.39,0,None,-74.5,9.87,84.63,0.0,False
69.58,1,Concrete,-64.7,-2.2,86.9,0.1324,True
11.72,1,Glass,-75.32,31.89,63.43,0.0,False
125.21,1,Concrete,-61.6,-10.41,92.01,0.3306,True
10.06,0,None,-66.07,25.96,60.11,0.0,False
16.55,4,Concrete,-88.56,4.13,104.43,0.0113,False
19.46,4,Glass,-71.87,18.04,73.84,0.0,False
90.17,4,Glass,-98.95,31.79,87.16,0.0,False
47.19,2,Glass,-79.78,22.25,77.53,0.0,False
180.25,4,Concrete,-66.23,-38.94,125.17,0.4983,True
81.0,4,Concrete,-96.15,-2.07,118.22,0.137,True
55.9,3,Concrete,-85.39,0.39,105.0,0.0688,False
76.78,1,Glass,-69.52,9.76,79.76,0.0,False
130.67,4,Concrete,-94.91,-7.46,122.38,0.279,True
92.58,1,Concrete,-98.04,28.65,89.38,0.0,False
19.54,3,Glass,-62.29,10.42,71.87,0.0,False
173.44,1,Concrete,-93.24,18.4,94.84,0.0,False
35.8,1,Glass,-73.06,19.93,73.13,0.0,False
168.81,4,Glass,-61.08,-11.52,92.6,0.3524,True
42.42,1,Concrete,-88.31,25.7,82.61,0.0,False
199.3,2,Concrete,-74.82,-11.22,106.04,0.3446,True
73.24,4,Glass,-60.38,-4.97,85.35,0.2147,True
86.58,4,Glass,-68.34,1.54,86.8,0.0497,False
48.94,0,None,-62.51,8.67,73.85,0.0,False
163.76,3,Glass,-82.99,12.65,90.34,0.0,False
183.98,4,Concrete,-78.03,-27.32,125.35,0.4777,True
80.62,2,Glass,-62.77,0.59,82.18,0.0688,False
24.72,2,Concrete,-88.24,20.32,87.92,0.0,False
159.28,2,Concrete,-94.74,10.64,104.1,0.0,False
166.27,0,None,-75.52,11.05,84.47,0.0,False
188.99,3,Glass,-74.2,2.61,91.58,0.0296,False
139.45,3,Glass,-81.84,12.9,88.94,0.0,False
168.65,0,None,-60.44,-4.15,84.59,0.1858,True
13.2,1,Concrete,-77.99,25.52,72.46,0.0,False
189.22,2,Concrete,-83.7,-1.89,105.59,0.127,True
173.2,3,Glass,-99.88,29.05,90.83,0.0,False
80.19,1,Concrete,-91.79,23.65,88.14,0.0,False
25.26,1,Concrete,-92.7,34.6,78.1,0.0,False
50.33,0,None,-77.72,23.63,74.09,0.0,False
191.24,0,None,-88.8,23.12,85.69,0.0,False
17.75,1,Concrete,-93.83,38.79,75.04,0.0,False
104.33,0,None,-94.95,34.53,80.42,0.0,False
19.53,3,Glass,-77.01,25.15,71.87,0.0,False
156.47,0,None,-75.07,11.13,83.94,0.0,False
48.56,4,Concrete,-78.24,-15.54,113.78,0.4065,True
128.46,0,None,-66.12,3.89,82.23,0.0129,False
194.35,2,Glass,-98.77,28.94,89.83,0.0,False
111.46,1,Glass,-91.07,28.08,83.0,0.0,False
159.49,0,None,-80.3,16.2,84.11,0.0,False
198.81,3,Concrete,-80.26,-15.76,116.02,0.4064,True
35.07,0,None,-97.21,46.26,70.95,0.0,False
180.65,1,Concrete,-60.77,-14.42,95.19,0.3929,True
146.43,1,Concrete,-77.32,3.96,93.37,0.0141,False
172.13,2,Concrete,-63.4,-21.37,104.77,0.4518,True
198.8,0,None,-68.38,2.36,86.02,0.0298,False
94.07,4,Glass,-71.44,3.92,87.52,0.0126,False
135.7,3,Concrete,-76.73,-15.97,112.71,0.4109,True
47.63,1,Glass,-67.38,11.77,75.61,0.0,False
118.02,2,Glass,-98.61,33.12,85.49,0.0,False
49.0,0,None,-73.74,19.88,73.86,0.0,False
76.18,1,Concrete,-68.64,0.95,87.69,0.0589,False
185.65,0,None,-70.91,5.49,85.43,0.0043,False
166.4,1,Concrete,-72.68,-1.8,94.48,0.1216,True
115.24,2,Glass,-70.01,4.72,85.29,0.0056,False
29.21,3,Concrete,-80.62,1.25,99.37,0.0521,False
151.72,2,Glass,-78.65,10.97,87.68,0.0,False
20.0,4,Glass,-95.95,41.87,74.08,0.0,False
